"Open time" "Open" "High" "Low" "Close" "Volume" "Close time" "Quote asset volume" "Number of trades" "Taker buy base asset volume" "Taker buy quote asset volume" "Ignore"
"1606904040000" "19006.29000000" "19042.71000000" "18994.21000000" "19034.91000000" "55.40645800" "1606904099999" "1053967.38747545" "1375" "35.21669800" "669960.36924518" "0"
"1606904100000" "19034.91000000" "19039.56000000" "19009.82000000" "19035.12000000" "43.32324400" "1606904159999" "824210.64349748" "1342" "31.11075200" "591888.50484914" "0"
"1606904160000" "19035.11000000" "19035.11000000" "19008.99000000" "19016.42000000" "36.86380100" "1606904219999" "701184.65380014" "1180" "24.03444300" "457175.99757444" "0"
"1606904220000" "19015.81000000" "19058.13000000" "19012.53000000" "19053.61000000" "51.01283200" "1606904279999" "971096.88799313" "1338" "28.54261300" "543459.68632114" "0"
"1606904280000" "19053.61000000" "19073.67000000" "19037.64000000" "19070.40000000" "61.03504000" "1606904339999" "1163379.50520764" "1483" "38.91538100" "741785.83864564" "0"
"1606904340000" "19070.39000000" "19099.80000000" "19065.09000000" "19080.19000000" "65.64029500" "1606904399999" "1252384.02553898" "1561" "45.18260600" "862147.56698029" "0"
"1606904400000" "19080.19000000" "19094.76000000" "19079.54000000" "19089.97000000" "34.42148600" "1606904459999" "657093.94924606" "1225" "24.80065000" "473432.83889062" "0"
"1606904460000" "19089.96000000" "19093.87000000" "19070.87000000" "19090.16000000" "62.05951900" "1606904519999" "1184336.96912658" "1092" "26.64487700" "508535.97414976" "0"
"1606904520000" "19090.16000000" "19104.31000000" "19090.16000000" "19104.31000000" "36.64330500" "1606904579999" "699839.80765918" "1180" "26.88964600" "513551.47406961" "0"
"1606904580000" "19104.30000000" "19119.00000000" "19100.00000000" "19102.98000000" "45.36531400" "1606904639999" "866969.25620795" "1126" "23.59451200" "450914.07138603" "0"
"1606904640000" "19102.99000000" "19103.01000000" "19054.11000000" "19054.12000000" "66.61586700" "1606904699999" "1270762.85672801" "1027" "29.87491000" "569820.48620128" "0"
"1606904700000" "19054.11000000" "19137.37000000" "19050.00000000" "19130.70000000" "71.01606400" "1606904759999" "1356168.82786257" "1422" "46.08678700" "880171.91808025" "0"
"1606904760000" "19130.00000000" "19149.71000000" "19118.40000000" "19120.00000000" "54.27788000" "1606904819999" "1038629.38388575" "1219" "22.78189500" "436011.92379191" "0"
"1606904820000" "19119.99000000" "19127.17000000" "19107.00000000" "19115.99000000" "31.21061100" "1606904879999" "596684.38742631" "1214" "12.27053700" "234576.02378893" "0"
"1606904880000" "19116.00000000" "19121.13000000" "19080.50000000" "19082.67000000" "49.33501900" "1606904939999" "942433.45972351" "1078" "24.16048100" "461511.79335757" "0"
"1606904940000" "19082.50000000" "19115.90000000" "19076.62000000" "19100.41000000" "34.78529900" "1606904999999" "664275.08395223" "1200" "15.63786400" "298605.82009603" "0"
"1.606905e+12" "19099.45000000" "19154.00000000" "19099.45000000" "19140.89000000" "69.33753000" "1606905059999" "1326828.06528643" "1695" "44.66478800" "854748.81765795" "0"
"1606905060000" "19140.88000000" "19154.00000000" "19130.00000000" "19131.34000000" "52.91380100" "1606905119999" "1012879.49642825" "1045" "10.90818800" "208809.60674759" "0"
"1606905120000" "19131.34000000" "19176.24000000" "19131.34000000" "19171.08000000" "91.25263200" "1606905179999" "1748424.80300872" "1501" "68.29402400" "1308493.31150338" "0"
"1606905180000" "19171.09000000" "19179.52000000" "19156.39000000" "19161.77000000" "54.31969500" "1606905239999" "1041260.86498272" "1345" "33.03263400" "633224.95747282" "0"
"1606905240000" "19161.76000000" "19174.40000000" "19148.78000000" "19169.00000000" "67.57588600" "1606905299999" "1294637.77787200" "1152" "36.19004100" "693425.47351861" "0"
"1606905300000" "19170.00000000" "19174.00000000" "19146.94000000" "19154.34000000" "55.84890000" "1606905359999" "1070025.97828080" "1174" "27.11402200" "519561.55083816" "0"
"1606905360000" "19154.35000000" "19157.12000000" "19135.51000000" "19154.26000000" "71.83840400" "1606905419999" "1375571.20482222" "1203" "31.73447800" "607624.69495271" "0"
"1606905420000" "19153.69000000" "19163.51000000" "19069.59000000" "19146.02000000" "127.53637000" "1606905479999" "2439838.37708478" "1556" "37.96822000" "726885.02583339" "0"
"1606905480000" "19146.02000000" "19152.90000000" "19133.04000000" "19149.46000000" "54.46607700" "1606905539999" "1042537.90235107" "1252" "30.91996500" "591813.28727450" "0"
"1606905540000" "19149.46000000" "19152.88000000" "19136.47000000" "19148.15000000" "51.47921900" "1606905599999" "985652.58522548" "1051" "24.94049100" "477519.72277835" "0"
"1606905600000" "19147.84000000" "19163.00000000" "19144.04000000" "19151.49000000" "47.47411800" "1606905659999" "909372.82098019" "830" "17.14748300" "328423.50709498" "0"
"1606905660000" "19151.50000000" "19162.00000000" "19113.35000000" "19128.87000000" "35.12248500" "1606905719999" "672200.69514599" "1019" "15.71483600" "300821.13370342" "0"
"1606905720000" "19128.26000000" "19147.48000000" "19125.64000000" "19145.49000000" "30.03802600" "1606905779999" "574851.35074408" "880" "17.14462400" "328097.37305462" "0"
"1606905780000" "19145.49000000" "19152.91000000" "19144.09000000" "19148.56000000" "24.20055800" "1606905839999" "463409.72847512" "588" "10.60137500" "203003.06192647" "0"
"1606905840000" "19147.05000000" "19151.45000000" "19120.24000000" "19127.22000000" "32.85547100" "1606905899999" "628644.88616043" "807" "19.63563500" "375630.15770332" "0"
"1606905900000" "19127.21000000" "19129.16000000" "19110.22000000" "19125.35000000" "36.70451400" "1606905959999" "701737.54432761" "993" "17.11853600" "327288.97783333" "0"
"1606905960000" "19125.35000000" "19164.41000000" "19120.19000000" "19162.99000000" "69.16934000" "1606906019999" "1323801.78786269" "1334" "26.28290400" "503148.72995279" "0"
"1606906020000" "19162.99000000" "19196.63000000" "19159.79000000" "19189.73000000" "46.30205100" "1606906079999" "888017.38153253" "1315" "32.96737400" "632287.23795148" "0"
"1606906080000" "19189.72000000" "19193.76000000" "19169.74000000" "19169.74000000" "40.02462600" "1606906139999" "767813.09753618" "1013" "24.56504000" "471243.65627200" "0"
"1606906140000" "19169.74000000" "19193.00000000" "19166.90000000" "19178.71000000" "51.96248700" "1606906199999" "996620.01794144" "899" "32.48813400" "623114.21507922" "0"
"1606906200000" "19178.64000000" "19185.10000000" "19162.05000000" "19180.16000000" "38.00583100" "1606906259999" "728843.39778226" "886" "13.88505500" "266274.42663247" "0"
"1606906260000" "19179.87000000" "19194.88000000" "19176.50000000" "19187.24000000" "39.10393300" "1606906319999" "750294.02442432" "846" "23.85940900" "457786.93897003" "0"
"1606906320000" "19187.32000000" "19187.32000000" "19140.22000000" "19143.46000000" "51.49534400" "1606906379999" "986945.02026906" "937" "23.22870100" "445048.42290450" "0"
"1606906380000" "19143.46000000" "19144.51000000" "19120.97000000" "19131.18000000" "36.65015400" "1606906439999" "701162.90384430" "1024" "14.07441800" "269257.25747302" "0"
"1606906440000" "19131.18000000" "19137.00000000" "19101.00000000" "19108.38000000" "42.95630000" "1606906499999" "821048.52218977" "976" "15.19403600" "290453.97958712" "0"
"1606906500000" "19108.38000000" "19112.99000000" "19072.90000000" "19078.99000000" "53.86500200" "1606906559999" "1028604.17744265" "1361" "28.30662600" "540633.56429662" "0"
"1606906560000" "19080.13000000" "19101.65000000" "19076.73000000" "19094.31000000" "45.09661900" "1606906619999" "860808.77578689" "1115" "23.26071800" "443957.56675165" "0"
"1606906620000" "19094.31000000" "19107.50000000" "19093.41000000" "19099.79000000" "19.48562200" "1606906679999" "372181.01807414" "745" "15.75294500" "300878.99835737" "0"
"1606906680000" "19099.80000000" "19121.49000000" "19093.70000000" "19115.80000000" "28.51362200" "1606906739999" "544846.81280591" "905" "16.19573200" "309490.92611239" "0"
"1606906740000" "19115.80000000" "19118.68000000" "19103.28000000" "19103.39000000" "41.41944500" "1606906799999" "791558.80867012" "657" "21.75124900" "415663.82742936" "0"
"1606906800000" "19103.38000000" "19141.00000000" "19103.38000000" "19125.81000000" "54.77666000" "1606906859999" "1047821.29785061" "1151" "16.05777700" "307174.37459408" "0"
"1606906860000" "19125.47000000" "19145.87000000" "19121.01000000" "19142.08000000" "25.69484900" "1606906919999" "491640.08936970" "1024" "15.97635200" "305662.02959518" "0"
"1606906920000" "19142.08000000" "19158.33000000" "19138.50000000" "19157.09000000" "24.24519400" "1606906979999" "464307.33285949" "965" "15.75202200" "301675.45525653" "0"
"1606906980000" "19157.10000000" "19178.34000000" "19157.08000000" "19175.13000000" "31.29542400" "1606907039999" "599859.81539498" "1138" "20.16537700" "386532.11030576" "0"
